date,product,category,price,quantity,channel,city
2026-08-01,키보드,주변기기,45000,2,온라인,서울
2026-08-01,마우스,주변기기,25000,3,오프라인,부산
2026-08-02,웹캠,영상,65000,1,온라인,서울
2026-08-02,모니터암,사무기기,85000,2,온라인,인천
2026-08-03,USB허브,주변기기,32000,4,오프라인,대전
2026-08-03,헤드셋,오디오,78000,1,온라인,서울
2026-08-04,노트북거치대,사무기기,39000,2,온라인,대구
2026-08-04,스피커,오디오,55000,2,오프라인,부산
2026-08-05,마이크,오디오,92000,1,온라인,광주
2026-08-05,케이블,주변기기,12000,5,온라인,
2026-08-06,키보드,주변기기,45000,1,오프라인,서울
2026-08-06,웹캠,영상,65000,2,온라인,부산
2026-08-07,모니터암,사무기기,85000,1,오프라인,인천
2026-08-07,헤드셋,오디오,78000,2,온라인,서울
2026-08-08,마우스,주변기기,25000,4,온라인,대전
2026-08-08,스피커,오디오,55000,1,온라인,부산
2026-08-09,노트북거치대,사무기기,39000,3,오프라인,대구
2026-08-09,마이크,오디오,92000,2,온라인,광주
2026-08-10,USB허브,주변기기,32000,2,온라인,서울
2026-08-10,웹캠,영상,65000,1,오프라인,
